Text,Emotion,Encrypted_Text
i love my family,joy,gAAAAABpEGbDg0V8GSluaG9zMRceEKpFNwHCf5w44ekj_x0UQfG_jzyeAZx548tgMxkF5Flx3VgFMEwhBhdth00QQOcQRqZbGumm3-iY0bdvW7D1ZQjZANw=
who are you??,surprise,gAAAAABpEGbQ0SPcveDnStXFL_GxZduXmLDQ_0WK7opaNYn4ZXmHN-SIYYF6oDga1_AhpJ53nkUFwZRc7sMNzHX8R90tgFtGrw==
you are very bad,anger,gAAAAABpEGbcOH1Wu27ymn25UnJP63KzZ0uDbS48cKpCSR9ZAyDwHQv3Ggs_-g4fjEFVN_cwm8yIfnQg6HgIOzVtzUjROrGqfHTFTEFkPfu1hVxAkXScq3A=
i am so excited and confused,joy,gAAAAABpEGbsu8uj5AbFd1CTaWbli0owfVgsKNxv2W_yBaVR8qlDE0lr3L3p29gxJDIhrO0qJF4kjLjyfM-SySkWbROATqnTWV5vN0p6xW0RVrfWBflGCik=
i lost my ring,sadness,gAAAAABpEGb3W8FnMwCBKKjMHfpx6RVVWxzq3PPFuKGvUJrzLJNuYhMH8SjnY6ldZq7RgzgRzB3OJWx1Lkz1vCIjbX274IEYbg==
i love my family,joy,gAAAAABpEGj9tFkXWcId8D1KWqinBxyF4bQCvpdLCw8D5RLgzHvK7sgaTACio3GCQgICXkYgU_9Cr92gMZ_FdoPc9RRIV1AJXeuI6MiOt4yQ69OSsbQOpdo=
who are your??,surprise,gAAAAABpEGkQukDgGqW2wpWEO-iJz7dMc06aqDQBb-r1PAAM-KywnUWB4KCmJ43wOZh0DbQ5R4yDq3B-FDyQQv_xje0MpBV4HQ==
i am happy,joy,gAAAAABpEGmvm9AruJ3JHyWZKXaoqdUyU7TD6HlDp6QLS71JVnSdz3-TpHxhlrScSl1m8mxWhBSjKiH-7LtOnavCVIefXRNT3Q==
i am very happy,joy,gAAAAABpEGonfhyhNwhljg5VsgQ2TlTEkmkeZR_C8XRkwj64Ue_N1gRbhCdunMzYlwpuN87R_C-5WvLUZyv-0o7XGbtxH3LC0A==
who are you?,surprise,gAAAAABpEGo217gy4YLKMg85jmwISYskQQh2BfJdhaoGxuWVNUAh9ZoV-cpZ5-g4gwMGr1Ht9GIJ48mzvhzZlA3QTSLqL6o1zQ==
i am not feeling good,joy,gAAAAABpEGpKdEuuMwpMwit2iCBZXKIES5GS2bF0RRZLbAEXc64RD8TRbnQVLyL1tsli681_U5nYoROot0qzEBgtjIk1FxCZgQWJWAdYhRDQcHil2e5t4PI=
